Id,Bound
0,1
1,0
2,1
3,0
4,1
5,0
6,0
7,0
8,1
9,1
10,1
11,1
12,1
13,1
14,0
15,1
16,1
17,1
18,1
19,1
20,1
21,0
22,1
23,0
24,1
25,0
26,0
27,1
28,0
29,1
30,1
31,1
32,1
33,1
34,0
35,1
36,1
37,0
38,0
39,0
40,1
41,1
42,0
43,1
44,1
45,0
46,0
47,1
48,1
49,0
50,1
51,0
52,0
53,1
54,1
55,0
56,0
57,1
58,0
59,0
60,1
61,1
62,0
63,0
64,0
65,0
66,0
67,1
68,0
69,1
70,0
71,1
72,0
73,1
74,1
75,1
76,0
77,1
78,1
79,0
80,1
81,0
82,1
83,1
84,0
85,0
86,1
87,1
88,1
89,1
90,1
91,0
92,0
93,1
94,0
95,1
96,1
97,1
98,0
99,0
100,1
101,0
102,0
103,1
104,1
105,0
106,1
107,0
108,1
109,1
110,0
111,1
112,0
113,1
114,1
115,1
116,0
117,1
118,1
119,0
120,0
121,1
122,0
123,1
124,0
125,0
126,0
127,1
128,0
129,1
130,0
131,1
132,1
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,1
142,0
143,0
144,0
145,0
146,0
147,0
148,1
149,0
150,1
151,1
152,1
153,1
154,0
155,1
156,0
157,1
158,1
159,1
160,0
161,1
162,0
163,0
164,1
165,1
166,0
167,1
168,0
169,1
170,0
171,1
172,1
173,1
174,0
175,0
176,0
177,0
178,0
179,1
180,1
181,0
182,1
183,1
184,0
185,1
186,0
187,1
188,0
189,0
190,1
191,1
192,0
193,0
194,0
195,1
196,1
197,1
198,0
199,1
200,0
201,1
202,1
203,1
204,1
205,1
206,1
207,0
208,0
209,0
210,0
211,1
212,0
213,1
214,0
215,1
216,0
217,0
218,0
219,1
220,0
221,0
222,0
223,0
224,1
225,0
226,0
227,1
228,0
229,1
230,1
231,0
232,1
233,1
234,0
235,1
236,1
237,1
238,0
239,0
240,0
241,1
242,1
243,1
244,0
245,0
246,0
247,1
248,1
249,0
250,0
251,0
252,1
253,0
254,1
255,1
256,1
257,0
258,0
259,0
260,1
261,1
262,0
263,1
264,0
265,0
266,1
267,0
268,0
269,1
270,0
271,0
272,0
273,1
274,1
275,0
276,0
277,0
278,1
279,1
280,1
281,1
282,1
283,0
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,0
295,1
296,1
297,1
298,1
299,0
300,0
301,1
302,0
303,1
304,0
305,1
306,0
307,1
308,0
309,1
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,1
320,1
321,1
322,0
323,0
324,0
325,1
326,1
327,1
328,1
329,1
330,1
331,0
332,0
333,0
334,0
335,1
336,0
337,1
338,0
339,0
340,0
341,0
342,1
343,1
344,0
345,1
346,1
347,1
348,0
349,1
350,1
351,0
352,1
353,0
354,0
355,1
356,0
357,0
358,1
359,1
360,0
361,1
362,1
363,1
364,1
365,1
366,0
367,0
368,0
369,1
370,0
371,1
372,0
373,0
374,1
375,0
376,0
377,1
378,1
379,1
380,1
381,0
382,0
383,0
384,1
385,0
386,0
387,0
388,1
389,0
390,1
391,0
392,0
393,0
394,0
395,0
396,0
397,1
398,1
399,1
400,1
401,0
402,1
403,0
404,0
405,1
406,0
407,0
408,0
409,0
410,1
411,0
412,0
413,0
414,1
415,1
416,0
417,0
418,0
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,0
428,1
429,0
430,0
431,0
432,1
433,0
434,0
435,1
436,0
437,1
438,0
439,0
440,1
441,0
442,0
443,1
444,0
445,1
446,1
447,0
448,0
449,1
450,1
451,0
452,0
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,0
461,0
462,0
463,0
464,0
465,1
466,0
467,0
468,0
469,0
470,1
471,0
472,1
473,0
474,0
475,0
476,1
477,1
478,1
479,1
480,0
481,1
482,1
483,1
484,0
485,1
486,1
487,1
488,0
489,0
490,0
491,1
492,1
493,1
494,1
495,0
496,0
497,0
498,0
499,1
500,0
501,1
502,0
503,0
504,1
505,1
506,1
507,0
508,1
509,1
510,0
511,1
512,1
513,0
514,1
515,1
516,0
517,0
518,0
519,0
520,0
521,1
522,1
523,1
524,1
525,1
526,0
527,1
528,0
529,0
530,0
531,1
532,0
533,1
534,1
535,0
536,0
537,1
538,1
539,1
540,1
541,0
542,1
543,1
544,0
545,1
546,1
547,1
548,1
549,1
550,0
551,1
552,1
553,0
554,1
555,1
556,1
557,0
558,0
559,0
560,1
561,1
562,1
563,1
564,0
565,1
566,1
567,0
568,0
569,0
570,1
571,0
572,0
573,1
574,1
575,0
576,1
577,1
578,0
579,0
580,0
581,1
582,0
583,0
584,1
585,0
586,0
587,0
588,0
589,1
590,0
591,0
592,0
593,0
594,1
595,0
596,1
597,1
598,0
599,0
600,1
601,0
602,1
603,0
604,1
605,1
606,0
607,0
608,0
609,0
610,0
611,0
612,1
613,0
614,0
615,1
616,1
617,0
618,1
619,0
620,1
621,0
622,0
623,1
624,0
625,0
626,1
627,1
628,0
629,0
630,0
631,1
632,1
633,1
634,0
635,0
636,0
637,0
638,1
639,0
640,1
641,1
642,0
643,0
644,1
645,1
646,0
647,0
648,1
649,0
650,1
651,0
652,0
653,0
654,0
655,1
656,0
657,0
658,1
659,0
660,0
661,1
662,1
663,1
664,1
665,1
666,1
667,0
668,1
669,0
670,0
671,1
672,0
673,1
674,1
675,1
676,1
677,1
678,1
679,0
680,0
681,1
682,1
683,1
684,1
685,0
686,0
687,0
688,0
689,1
690,1
691,1
692,1
693,0
694,1
695,0
696,1
697,0
698,0
699,1
700,1
701,0
702,1
703,0
704,0
705,1
706,1
707,0
708,1
709,1
710,0
711,1
712,1
713,1
714,0
715,0
716,0
717,1
718,1
719,0
720,0
721,1
722,1
723,0
724,1
725,0
726,1
727,1
728,0
729,0
730,0
731,1
732,1
733,1
734,1
735,0
736,1
737,1
738,1
739,1
740,0
741,0
742,1
743,1
744,1
745,0
746,1
747,1
748,0
749,0
750,1
751,1
752,0
753,1
754,0
755,0
756,1
757,1
758,1
759,1
760,0
761,1
762,1
763,1
764,1
765,1
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,1
775,0
776,1
777,0
778,0
779,1
780,0
781,1
782,1
783,1
784,1
785,1
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,1
794,0
795,0
796,0
797,1
798,1
799,0
800,1
801,1
802,0
803,0
804,0
805,0
806,0
807,1
808,0
809,1
810,0
811,0
812,1
813,1
814,0
815,1
816,1
817,0
818,1
819,0
820,0
821,0
822,1
823,0
824,1
825,0
826,1
827,1
828,1
829,1
830,1
831,1
832,1
833,1
834,1
835,1
836,1
837,0
838,0
839,1
840,1
841,0
842,0
843,0
844,0
845,0
846,1
847,1
848,1
849,1
850,1
851,1
852,0
853,0
854,1
855,1
856,0
857,1
858,0
859,0
860,1
861,1
862,0
863,1
864,1
865,0
866,1
867,0
868,0
869,0
870,1
871,0
872,1
873,1
874,1
875,1
876,0
877,1
878,1
879,1
880,0
881,1
882,1
883,1
884,0
885,0
886,1
887,0
888,0
889,1
890,0
891,0
892,0
893,1
894,0
895,1
896,1
897,0
898,0
899,0
900,0
901,1
902,1
903,0
904,1
905,0
906,1
907,0
908,1
909,0
910,1
911,0
912,0
913,0
914,0
915,0
916,1
917,0
918,1
919,1
920,0
921,0
922,0
923,1
924,1
925,1
926,1
927,0
928,0
929,0
930,0
931,0
932,1
933,1
934,0
935,1
936,0
937,1
938,1
939,0
940,1
941,0
942,1
943,0
944,1
945,1
946,1
947,1
948,1
949,0
950,1
951,0
952,0
953,0
954,0
955,1
956,0
957,0
958,1
959,1
960,1
961,1
962,1
963,0
964,1
965,1
966,0
967,0
968,1
969,1
970,0
971,0
972,1
973,1
974,1
975,0
976,1
977,0
978,0
979,1
980,1
981,0
982,1
983,1
984,0
985,1
986,1
987,0
988,0
989,0
990,1
991,0
992,1
993,1
994,0
995,1
996,1
997,0
998,1
999,0
