Id,Bound
0,1
1,1
2,0
3,0
4,1
5,1
6,1
7,0
8,1
9,1
10,1
11,0
12,1
13,1
14,0
15,1
16,1
17,1
18,0
19,1
20,1
21,0
22,0
23,0
24,0
25,0
26,0
27,1
28,0
29,0
30,0
31,1
32,0
33,0
34,0
35,1
36,0
37,1
38,0
39,0
40,1
41,1
42,0
43,1
44,1
45,1
46,0
47,1
48,1
49,0
50,1
51,1
52,1
53,0
54,1
55,0
56,0
57,1
58,0
59,0
60,0
61,1
62,1
63,0
64,0
65,0
66,0
67,1
68,0
69,0
70,0
71,0
72,0
73,1
74,1
75,1
76,0
77,1
78,1
79,0
80,1
81,0
82,0
83,0
84,1
85,0
86,1
87,0
88,1
89,1
90,0
91,0
92,1
93,0
94,0
95,0
96,1
97,1
98,0
99,0
100,1
101,1
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,1
110,1
111,0
112,0
113,0
114,0
115,0
116,1
117,0
118,1
119,1
120,1
121,1
122,0
123,1
124,1
125,1
126,1
127,0
128,0
129,1
130,0
131,1
132,0
133,1
134,0
135,0
136,0
137,0
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,0
146,1
147,1
148,0
149,0
150,0
151,1
152,1
153,1
154,1
155,0
156,1
157,0
158,0
159,1
160,0
161,1
162,0
163,1
164,0
165,1
166,0
167,0
168,1
169,0
170,0
171,1
172,0
173,1
174,0
175,0
176,1
177,0
178,1
179,1
180,1
181,0
182,0
183,1
184,1
185,0
186,0
187,1
188,0
189,1
190,1
191,1
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,1
201,0
202,0
203,0
204,0
205,0
206,0
207,1
208,0
209,1
210,1
211,1
212,1
213,1
214,0
215,1
216,0
217,0
218,1
219,0
220,0
221,0
222,1
223,1
224,0
225,0
226,0
227,1
228,0
229,1
230,1
231,1
232,0
233,1
234,1
235,0
236,1
237,0
238,1
239,1
240,0
241,0
242,1
243,1
244,1
245,1
246,0
247,1
248,0
249,0
250,0
251,1
252,0
253,1
254,0
255,1
256,1
257,0
258,1
259,1
260,1
261,0
262,0
263,1
264,0
265,0
266,0
267,1
268,0
269,1
270,1
271,0
272,0
273,0
274,0
275,0
276,1
277,1
278,1
279,1
280,1
281,0
282,0
283,1
284,1
285,1
286,0
287,1
288,1
289,0
290,0
291,0
292,1
293,0
294,0
295,0
296,1
297,1
298,1
299,1
300,1
301,0
302,0
303,0
304,1
305,1
306,0
307,1
308,1
309,1
310,1
311,0
312,0
313,0
314,1
315,1
316,1
317,0
318,1
319,1
320,1
321,0
322,1
323,1
324,0
325,0
326,1
327,0
328,1
329,0
330,0
331,1
332,0
333,0
334,0
335,0
336,0
337,1
338,1
339,0
340,1
341,1
342,1
343,0
344,0
345,1
346,0
347,1
348,0
349,1
350,1
351,1
352,0
353,1
354,0
355,1
356,0
357,1
358,1
359,1
360,1
361,0
362,0
363,1
364,1
365,1
366,1
367,0
368,1
369,0
370,1
371,1
372,0
373,0
374,1
375,1
376,0
377,1
378,0
379,1
380,1
381,1
382,0
383,0
384,1
385,1
386,1
387,0
388,1
389,0
390,1
391,0
392,1
393,1
394,0
395,1
396,0
397,1
398,0
399,0
400,1
401,0
402,0
403,1
404,0
405,0
406,1
407,0
408,1
409,0
410,1
411,1
412,0
413,1
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,1
422,0
423,0
424,0
425,1
426,1
427,0
428,1
429,0
430,0
431,1
432,1
433,1
434,0
435,1
436,1
437,0
438,0
439,0
440,0
441,0
442,0
443,1
444,1
445,1
446,1
447,1
448,1
449,0
450,1
451,0
452,0
453,0
454,1
455,1
456,0
457,0
458,0
459,0
460,0
461,1
462,1
463,0
464,1
465,0
466,0
467,0
468,0
469,1
470,0
471,0
472,1
473,0
474,0
475,1
476,1
477,1
478,0
479,0
480,1
481,1
482,0
483,0
484,1
485,1
486,1
487,0
488,0
489,0
490,0
491,0
492,1
493,0
494,0
495,0
496,1
497,1
498,0
499,1
500,1
501,0
502,0
503,0
504,1
505,0
506,0
507,0
508,1
509,0
510,0
511,0
512,1
513,0
514,0
515,1
516,0
517,1
518,0
519,1
520,0
521,0
522,1
523,0
524,0
525,1
526,0
527,1
528,0
529,0
530,1
531,0
532,0
533,0
534,1
535,0
536,1
537,1
538,0
539,1
540,0
541,1
542,1
543,1
544,1
545,0
546,1
547,1
548,0
549,1
550,1
551,1
552,0
553,1
554,1
555,1
556,0
557,1
558,1
559,0
560,1
561,1
562,0
563,1
564,0
565,0
566,0
567,0
568,0
569,1
570,1
571,1
572,1
573,0
574,0
575,0
576,1
577,0
578,0
579,1
580,1
581,0
582,0
583,1
584,1
585,1
586,0
587,0
588,0
589,1
590,0
591,1
592,0
593,0
594,0
595,1
596,0
597,1
598,0
599,1
600,1
601,1
602,1
603,1
604,1
605,1
606,1
607,0
608,1
609,0
610,0
611,1
612,1
613,0
614,0
615,1
616,1
617,1
618,1
619,0
620,0
621,0
622,1
623,0
624,0
625,0
626,0
627,0
628,1
629,1
630,0
631,1
632,1
633,0
634,1
635,0
636,1
637,0
638,1
639,1
640,0
641,0
642,1
643,0
644,0
645,1
646,1
647,0
648,1
649,0
650,1
651,0
652,0
653,1
654,0
655,1
656,1
657,1
658,0
659,1
660,0
661,1
662,1
663,1
664,1
665,0
666,1
667,0
668,1
669,0
670,0
671,1
672,1
673,0
674,1
675,1
676,1
677,0
678,1
679,0
680,0
681,0
682,1
683,0
684,0
685,0
686,1
687,0
688,1
689,0
690,1
691,1
692,0
693,0
694,0
695,1
696,0
697,0
698,0
699,1
700,0
701,0
702,1
703,0
704,1
705,0
706,1
707,1
708,0
709,1
710,0
711,1
712,1
713,0
714,0
715,0
716,0
717,0
718,1
719,1
720,0
721,1
722,1
723,0
724,0
725,0
726,1
727,1
728,0
729,0
730,0
731,0
732,1
733,0
734,0
735,0
736,1
737,1
738,0
739,1
740,1
741,0
742,1
743,1
744,0
745,0
746,1
747,0
748,0
749,1
750,1
751,0
752,1
753,1
754,1
755,1
756,0
757,1
758,1
759,1
760,0
761,1
762,0
763,0
764,0
765,0
766,0
767,1
768,1
769,1
770,1
771,0
772,0
773,1
774,1
775,1
776,1
777,1
778,0
779,1
780,0
781,0
782,1
783,0
784,1
785,1
786,1
787,1
788,1
789,1
790,1
791,0
792,1
793,0
794,0
795,1
796,1
797,1
798,0
799,1
800,1
801,0
802,0
803,0
804,1
805,1
806,0
807,1
808,0
809,1
810,0
811,0
